session_id,station_name,start_ts,end_ts,energy_kwh,ghg_savings_kg,port_type,plug_type,fee,ended_by,latitude,longitude,user_id
0,PALO ALTO CA / HAMILTON #1,2011-07-31T04:33:00.000Z,2011-07-31T10:40:00.000Z,17.171463,7.212,Level 2,J1772,0.0,Customer,37.444572,-122.160309,4447
1,PALO ALTO CA / HAMILTON #1,2011-08-02T14:00:00.000Z,2011-08-02T15:13:00.000Z,4.197217,1.763,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,2944
2,PALO ALTO CA / HAMILTON #2,2011-08-02T19:03:00.000Z,2011-08-02T21:30:00.000Z,8.497075,3.569,Level 2,J1772,0.0,Customer,37.444607,-122.160263,4169
3,PALO ALTO CA / HAMILTON #1,2011-08-05T05:45:00.000Z,2011-08-05T09:16:00.000Z,12.238361,5.14,Level 2,J1772,0.0,Customer,37.444572,-122.160309,4447
4,PALO ALTO CA / HAMILTON #2,2011-08-05T19:12:00.000Z,2011-08-05T20:26:00.000Z,3.956375,1.662,Level 2,J1772,0.0,Customer,37.444607,-122.160263,2545
5,PALO ALTO CA / HAMILTON #2,2011-08-06T16:09:00.000Z,2011-08-06T18:48:00.000Z,6.728611,2.826,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,2670
6,PALO ALTO CA / HAMILTON #1,2011-08-06T22:33:00.000Z,2011-08-06T22:41:00.000Z,0.455617,0.191,Level 2,J1772,0.0,Customer,37.444572,-122.160309,4447
7,PALO ALTO CA / HAMILTON #1,2011-08-07T00:02:00.000Z,2011-08-07T18:20:00.000Z,4.457012,1.872,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,2670
8,PALO ALTO CA / HAMILTON #1,2011-08-09T09:05:00.000Z,2011-08-09T09:55:00.000Z,2.832791,1.19,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,2944
9,PALO ALTO CA / HAMILTON #2,2011-08-09T16:21:00.000Z,2011-08-09T16:27:00.000Z,0.316349,0.133,Level 2,J1772,0.0,Customer,37.444607,-122.160263,5502
10,PALO ALTO CA / HAMILTON #1,2011-08-11T12:18:00.000Z,2011-08-11T12:49:00.000Z,1.780105,0.748,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,1729
11,PALO ALTO CA / HAMILTON #2,2011-08-12T10:59:00.000Z,2011-08-12T13:33:00.000Z,6.16168,2.588,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,2670
12,PALO ALTO CA / HAMILTON #1,2011-08-16T18:26:00.000Z,2011-08-16T19:50:00.000Z,1.596976,0.671,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4217
