Severity,Start_Time,Year,Month,Weekday,Hour,State,City,Weather_Condition,Temperature_F,Humidity_pct,Visibility_mi,Wind_Speed_mph,Precipitation_in,Sunrise_Sunset,Distance_mi
2,2016-02-08 07:59:35,2016,2,Monday,7,OH,Dayton,Overcast,34.0,100.0,7.0,3.5,,Day,0.0
3,2016-02-11 05:30:51,2016,2,Thursday,5,OH,Akron,Light Snow,14.0,74.0,4.0,10.4,0.0,Night,0.01
3,2016-02-11 08:29:21,2016,2,Thursday,8,OH,Maple Heights,Overcast,18.0,54.0,10.0,25.3,,Day,0.01
2,2016-02-11 08:47:51,2016,2,Thursday,8,WV,Charleston,Scattered Clouds,17.1,56.0,10.0,5.8,,Day,0.0
3,2016-02-11 17:10:00,2016,2,Thursday,17,OH,Dayton,Mostly Cloudy,21.0,57.0,10.0,8.1,,Day,0.01
4,2016-02-15 23:51:06,2016,2,Monday,23,PA,Mercer,Light Snow,30.2,93.0,2.0,5.8,0.0,Night,11.076
3,2016-02-18 07:18:16,2016,2,Thursday,7,KY,Louisville,Partly Cloudy,27.0,89.0,2.5,,,Night,0.177
2,2016-02-18 08:45:20,2016,2,Thursday,8,OH,Canton,Clear,17.1,81.0,8.0,6.9,,Day,0.102
2,2016-02-18 09:47:43,2016,2,Thursday,9,PA,Canonsburg,Clear,24.8,59.0,10.0,5.8,,Day,0.562
2,2016-02-19 14:58:17,2016,2,Friday,14,OH,Cleveland,Overcast,54.0,43.0,10.0,23.0,,Day,0.454
4,2016-02-23 10:20:42,2016,2,Tuesday,10,OH,Bowling Green,Clear,36.0,64.0,10.0,11.5,,Day,8.113
4,2016-02-23 18:04:18,2016,2,Tuesday,18,MI,Burr Oak,Clear,40.1,52.0,10.0,9.2,,Day,1.058
3,2016-02-24 08:26:08,2016,2,Wednesday,8,OH,Cincinnati,Overcast,50.0,100.0,10.0,6.9,,Day,0.141
2,2016-02-25 13:26:32,2016,2,Thursday,13,OH,Perrysburg,Light Snow,33.1,85.0,0.8,16.1,0.0,Day,0.6609999999999999
2,2016-02-25 15:50:16,2016,2,Thursday,15,IN,Middlebury,Overcast,30.9,72.0,9.0,23.0,,Day,6.1560000000000015
3,2016-02-26 12:55:26,2016,2,Friday,12,OH,Toledo,Scattered Clouds,31.3,53.0,10.0,6.9,,Day,0.0
2,2016-02-28 12:58:44,2016,2,Sunday,12,OH,Dayton,Clear,63.1,35.0,10.0,26.5,,Day,0.01
4,2016-03-02 12:04:52,2016,3,Wednesday,12,OH,Logan,Light Snow,27.0,66.0,9.0,8.1,0.0,Day,1.205
